"Issue","Year","Format","Version","Disc","TrackNumber","Title","Artist","DiscogsReleaseID"
"3","1984","Betamax","Betamax-Original","1","0","Dum Dum Girl","Talk Talk","11829065"
"3","1984","Betamax","Betamax-Original","1","0","I Scare Myself","Thomas Dolby","11829065"
"3","1984","Betamax","Betamax-Original","1","0","When You're Young And In Love","The Flying Pickets","11829065"
"3","1984","Betamax","Betamax-Original","1","0","Too Much Trouble","Limahl","11829065"
"3","1984","Betamax","Betamax-Original","1","0","Our Song","I-Level","11829065"
"3","1984","Betamax","Betamax-Original","1","0","Come Back","Wah!","11829065"
"3","1984","Betamax","Betamax-Original","1","0","Dance Me Up","Gary Glitter","11829065"
"3","1984","Betamax","Betamax-Original","1","0","Turn Your Back On Me","Kajagoogoo","11829065"
"3","1984","Betamax","Betamax-Original","1","0","Take A Look At Me Now (Against All Odds)","Phil Collins","11829065"
"3","1984","Betamax","Betamax-Original","1","0","What's Love Got Do With It","Tina Turner","11829065"
"3","1984","Betamax","Betamax-Original","1","0","Venceremos","Working Week","11829065"
"3","1984","Betamax","Betamax-Original","1","0","Emergency (Dial 999)","Loose Ends","11829065"
"3","1984","Betamax","Betamax-Original","1","0","Love Lies Lost","Helen Terry","11829065"
"3","1984","Betamax","Betamax-Original","1","0","In The Country","The Farmer's Boys","11829065"
"3","1984","Betamax","Betamax-Original","1","0","One Better Day","Madness","11829065"
"3","1984","Betamax","Betamax-Original","1","0","You Take Me Up","Thompson Twins","11829065"
"3","1984","Betamax","Betamax-Original","1","0","Tinseltown In The Rain","The Blue Nile","11829065"
"3","1984","Betamax","Betamax-Original","1","0","Up On The Catwalk","Simple Minds","11829065"
"3","1984","Betamax","Betamax-Original","1","0","Red Guitar","David Sylvian","11829065"
"3","1984","Betamax","Betamax-Original","1","0","Locomotion","Orchestral Manoeuvres In The Dark","11829065"
"3","1984","Cassette","Cassette-Original","A","1","The Reflex","Duran Duran","2002472"
"3","1984","Cassette","Cassette-Original","A","2","I Won't Let The Sun Go Down On Me","Nik Kershaw","2002472"
"3","1984","Cassette","Cassette-Original","A","3","Thinking Of You","Sister Sledge","2002472"
